time_utc,time_excel,latitude_decimal,longitude_decimal,elevation_meters
2025-05-10T10:58:06Z,45787.45701388889,37.53813,-88.9777,215.9249599999963
2025-05-10T10:58:39Z,45787.457395833335,37.53813,-88.97772,215.94425600000304
2025-05-10T10:58:44Z,45787.457453703704,37.53815,-88.97772,215.9292800000049
2025-05-10T10:58:49Z,45787.45751157407,37.53822,-88.97782,216.062016
2025-05-10T10:58:54Z,45787.45756944444,37.53822,-88.97789,216.16483199999945
2025-05-10T10:59:07Z,45787.457719907405,37.53823,-88.97794,216.2172480000079
2025-05-10T11:00:21Z,45787.45857638889,37.53816,-88.97799,216.47673600001838
2025-05-10T11:00:51Z,45787.45892361111,37.53811,-88.97793,216.44059199999552
2025-05-10T11:01:11Z,45787.45915509259,37.53817,-88.97796,216.38572799998914
2025-05-10T11:01:32Z,45787.459398148145,37.53828,-88.97796,216.12595199999646
2025-05-10T11:01:53Z,45787.459641203706,37.5384,-88.9778,215.7791999999923
2025-05-10T11:02:56Z,45787.46037037037,37.53871,-88.97802,215.56156799999607
2025-05-10T11:03:02Z,45787.460439814815,37.53852,-88.97795,215.74464000001913
2025-05-10T11:03:12Z,45787.46055555555,37.53858,-88.97795,215.66256000001803
2025-05-10T11:03:32Z,45787.46078703704,37.53861,-88.97797,215.6932319999985
2025-05-10T11:03:42Z,45787.46090277778,37.53864,-88.97798,215.65228800000506
2025-05-10T11:03:56Z,45787.461064814815,37.53876,-88.97801,215.3879039999857
2025-05-10T11:04:01Z,45787.461122685185,37.53885,-88.97803,215.12712000001343
2025-05-10T11:04:07Z,45787.46119212963,37.53887,-88.97804,215.0641919999886
2025-05-10T11:04:12Z,45787.46125,37.53891,-88.97805,214.99847999999884
2025-05-10T11:04:18Z,45787.46131944445,37.53893,-88.97804,214.9917119999961
2025-05-10T11:04:28Z,45787.461435185185,37.53895,-88.97803,214.97976000000318
2025-05-10T11:04:32Z,45787.461481481485,37.53898,-88.97802,214.95801599999987
2025-05-10T11:04:37Z,45787.461539351854,37.53902,-88.97801,214.92259199999552
2025-05-10T11:04:42Z,45787.461597222224,37.53907,-88.97801,214.89307199999294
2025-05-10T11:04:47Z,45787.46165509259,37.53908,-88.978,214.86239999998733
2025-05-10T11:04:52Z,45787.46171296296,37.53913,-88.97799,214.795152
2025-05-10T11:04:57Z,45787.46177083333,37.53915,-88.97801,214.84583999999225
2025-05-10T11:05:02Z,45787.46183,37.53921,-88.978,214.6751999999915
2025-05-10T11:05:06Z,45787.46188,37.53924,-88.97802,214.64179200000353
2025-05-10T11:05:11Z,45787.46193287037,37.53928,-88.97803,214.5375360000151
2025-05-10T11:05:16Z,45787.46199074074,37.53928,-88.97807,214.59200000000737
2025-05-10T11:05:21Z,45787.46204861111,37.53933,-88.97809,214.41200000000117
2025-05-10T11:05:26Z,45787.46210648148,37.53934,-88.97811,214.37599999998974
2025-05-10T11:05:31Z,45787.462164351855,37.53941,-88.97812,214.12400000001207
2025-05-10T11:05:39Z,45787.46225694445,37.53943,-88.97812,214.05199999998922
2025-05-10T11:05:44Z,45787.46231481482,37.53913,-88.9781,215
2025-05-10T11:05:49Z,45787.462372685186,37.53908,-88.9781,215
2025-05-10T11:05:54Z,45787.462430555555,37.53919,-88.97811,214.9160000000079
2025-05-10T11:05:58Z,45787.462476851855,37.53923,-88.97812,214.77199999998766
2025-05-10T11:06:05Z,45787.46255787037,37.53925,-88.97811,214.69999999999027
2025-05-10T11:06:10Z,45787.46261574074,37.53929,-88.9781,214.55599999999595
2025-05-10T11:06:15Z,45787.46267361111,37.53946,-88.97818,214
2025-05-10T11:06:20Z,45787.46273148148,37.53952,-88.97821,214
2025-05-10T11:06:25Z,45787.462789351855,37.54001,-88.97838,213
2025-05-10T11:06:29Z,45787.46283564815,37.54058,-88.97854,211.82400000001053
2025-05-10T11:06:34Z,45787.46289351852,37.54062,-88.97845,211.5360000000219
2025-05-10T11:06:39Z,45787.46295138889,37.54064,-88.97838,211.39199999997618
2025-05-10T11:06:44Z,45787.463009259256,37.54065,-88.97835,211.32000000000426
2025-05-10T11:06:48Z,45787.463055555556,37.54061,-88.97826,211.39574400001132
2025-05-10T11:06:53Z,45787.463113425925,37.54059,-88.97819,211.29998399998422
2025-05-10T11:06:57Z,45787.463159722225,37.54057,-88.97814,211.23619199997572
2025-05-10T11:07:02Z,45787.463217592594,37.54057,-88.97809,211.06555199997163
2025-05-10T11:07:08Z,45787.46328703704,37.54057,-88.97807,210.9972959999991
2025-05-10T11:07:16Z,45787.46337962963,37.54056,-88.97803,210.79852800003158
2025-05-10T11:07:20Z,45787.463425925926,37.54055,-88.97798,210.46688000000998
2025-05-10T11:07:25Z,45787.463483796295,37.54051,-88.97786,209.8229120000533
2025-05-10T11:07:35Z,45787.46359953703,37.5402,-88.97771,211.4916800000102
2025-05-10T11:07:45Z,45787.46371527778,37.54018,-88.9776,211.47871999999703
2025-05-10T11:07:55Z,45787.46383101852,37.54017,-88.97767,211.62545599998515
2025-05-10T11:08:15Z,45787.46406,37.54006,-88.97752,211.8404480000075
2025-05-10T11:08:20Z,45787.46412037037,37.54002,-88.97772,212.6629760000272
2025-05-10T11:08:25Z,45787.46417824074,37.53996,-88.97776,212.92678400001464
2025-05-10T11:08:30Z,45787.46423611111,37.5399,-88.97775,212.86400000000273
2025-05-10T11:08:34Z,45787.46428240741,37.53985,-88.97779,213.00351999999927
2025-05-10T11:08:39Z,45787.46434027778,37.53977,-88.97772,212.619776
2025-05-10T11:08:44Z,45787.46439814815,37.53972,-88.97769,212.37599999995814
2025-05-10T11:08:48Z,45787.46444444444,37.53968,-88.9777,212.592
2025-05-10T11:08:53Z,45787.46450231481,37.53962,-88.97772,212.95200000003865
2025-05-10T11:08:58Z,45787.46456018519,37.53958,-88.97773,213.16799999995374
2025-05-10T11:09:03Z,45787.46461805556,37.53954,-88.97773,213.31199999994828
2025-05-10T11:09:07Z,45787.46466435185,37.53949,-88.97773,213.49199999995426
2025-05-10T11:09:12Z,45787.46472222222,37.53942,-88.97775,213.8088000000024
2025-05-10T11:09:17Z,45787.464780092596,37.53938,-88.97773,213.695904
2025-05-10T11:09:21Z,45787.46482638889,37.5395,-88.97767,213.0240000000358
2025-05-10T11:09:26Z,45787.46488425926,37.53967,-88.9776,211.90799999996307
2025-05-10T11:09:32Z,45787.464953703704,37.53968,-88.97756,211.584
2025-05-10T11:09:37Z,45787.46501157407,37.53958,-88.97754,211.8000000000311
2025-05-10T11:09:45Z,45787.465104166666,37.53955,-88.97748,211.47600000000511
2025-05-10T11:09:50Z,45787.465162037035,37.53949,-88.97738,210.97199999997292
2025-05-10T11:09:55Z,45787.465219907404,37.53946,-88.9773,210.50400000000354
2025-05-10T11:09:59Z,45787.465266203704,37.53948,-88.97724,209.99999999997135
2025-05-10T11:10:04Z,45787.46532407407,37.53949,-88.97716,208.93999999996595
2025-05-10T11:10:09Z,45787.46538194444,37.53957,-88.97714,208.36400000009007
2025-05-10T11:10:14Z,45787.46543981481,37.53964,-88.97709,207.39200000006304
2025-05-10T11:10:19Z,45787.46549768518,37.5397,-88.97711,207.46399999993218
2025-05-10T11:10:23Z,45787.46554398148,37.53975,-88.97706,206.7055999999156
2025-05-10T11:10:28Z,45787.46560185185,37.53979,-88.97707,206.91828799997012
2025-05-10T11:10:33Z,45787.46565972222,37.53985,-88.97706,206.85535999991342
2025-05-10T11:10:37Z,45787.46570601852,37.5399,-88.97706,206.93023999991232
2025-05-10T11:10:42Z,45787.46576388889,37.53996,-88.97706,207.0200959999047
2025-05-10T11:10:47Z,45787.46582175926,37.54,-88.97705,206.90000000009823
2025-05-10T11:11:04Z,45787.46601851852,37.53988,-88.97712,207.88697599998108
2025-05-10T11:11:27Z,45787.46628472222,37.53999,-88.9772,209.56687999994398
2025-05-10T11:11:32Z,45787.46634259259,37.54004,-88.97722,209.81715200005453
2025-05-10T11:11:36Z,45787.46638888889,37.54008,-88.97708,207.29945600000852
2025-05-10T11:11:41Z,45787.46644675926,37.54012,-88.97697,205.4202559999064
2025-05-10T11:11:46Z,45787.46650462963,37.54015,-88.97698,205.5708799999615
2025-05-10T11:11:50Z,45787.46655092593,37.5402,-88.977,205.8560000000605
2025-05-10T11:11:55Z,45787.46661,37.54024,-88.97696,205.23161600008066
2025-05-10T11:12:00Z,45787.46666666667,37.54027,-88.97691,204.38000000006696
